Movie Title,YouTube Link,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,
Ella McCay,https://www.youtube.com/watch?v=vRE6Iobir8k,2025,N/A,N/A,N/A,"Comedy, Drama",James L. Brooks,James L. Brooks,"Jamie Lee Curtis, Rebecca Hall, Ayo Edebiri","The film will follow an idealistic young politician who juggles familial issues and a challenging work life while preparing to take over the job of her mentor, the state's longtime incumbent governor.",English,United States,N/A,https://imdb.iamidiotareyoutoo.com/photo/tt30096221,N/A,N/A,N/A,tt30096221,movie,N/A,
Send Help,https://www.youtube.com/watch?v=R4wiXj9NmEE,2022–,N/A,11 Aug 2022,N/A,Comedy,N/A,"Mike Gauyo, Jean Elie","Jean Elie, Amin Joseph, Karen Obilom","Follows a young first generation Haitian American struggling to overcome the challenges in Hollywood, while coming to terms with a recent family tragedy.",N/A,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjQwMTVjYjktMGVlYi00YzgxLWI5NWUtYzRiYjBhNWFiZWIyXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.8,49,tt16287610,series,1,
Springsteen: Deliver Me From Nowhere,https://www.youtube.com/watch?v=ylvia3aATes,2025,PG-13,24 Oct 2025,120 min,"Biography, Drama, Music",Scott Cooper,"Scott Cooper, Warren Zanes","Stephen Graham, Paul Walter Hauser, Grace Gummer","Bruce Springsteen's journey crafting his 1982 album Nebraska, which emerged as he recorded Born in the USA with the E Street Band. Based on Warren Zanes' book.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGE4NzJiNTUtNWQ3Mi00ZGE5LWI3NmUtMjQwNWIxMWMyZDA2XkEyXkFqcGc@._V1_SX300.jpg,65,5.9,1119,tt31923069,movie,N/A,
Psycho Killer,https://www.youtube.com/watch?v=pwq8gwdVxts,1993,PG-13,N/A,82 min,"Crime, Drama",Stanley Wing Siu,Hoi-Ying Cheung,"Chingmy Yau, Francis Ng, Isabel Leung","Female detective is on the trail of a serial killer raping and murdering busty women, whose victims include the policewoman's sidekick. Along the way, she seeks help from another cunning serial killer called Lam, already in jail. ...","Mandarin, Cantonese",Hong Kong,N/A,https://m.media-amazon.com/images/M/MV5BYTZiMjdhMWMtMDI3Mi00OTY1LTk0MzItMTM3N2RkMzYzNTJiXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.8,16,tt0108637,movie,N/A,
Predator: Badlands,https://www.youtube.com/watch?v=43R9l7EkJwE,2025,PG-13,07 Nov 2025,107 min,"Action, Adventure, Sci-Fi",Dan Trachtenberg,"Patrick Aison, Jim Thomas, John Thomas","Elle Fanning, Dimitrius Schuster-Koloamatangi",A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.,English,"United States, Australia, New Zealand, Canada",N/A,https://m.media-amazon.com/images/M/MV5BNTdjZGUxMTItNjRkNS00N2VhLWE4MjMtMjVhODMwMGIxNjUwXkEyXkFqcGc@._V1_SX300.jpg,71,7.6,18100,tt31227572,movie,N/A,
The Amateur,https://www.youtube.com/watch?v=DCWcK4c-F8Q,2025,PG-13,11 Apr 2025,122 min,"Action, Thriller",James Hawes,"Robert Littell, Ken Nolan, Gary Spinelli","Rami Malek, Rachel Brosnahan, Jon Bernthal","When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjhkZjM3ZWYtMjUxMS00YzhlLTkxZWYtMzhkMzFhOTQ1NjRkXkEyXkFqcGc@._V1_SX300.jpg,52,6.5,81889,tt0899043,movie,N/A,
Alien: Romulus,https://www.youtube.com/watch?v=OzY2r2JXsDM,2024,R,16 Aug 2024,119 min,"Horror, Sci-Fi, Thriller",Fede Alvarez,"Dan O'Bannon, Ronald Shusett, Fede Alvarez","Cailee Spaeny, David Jonsson, Archie Renaux","While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.",English,"United Kingdom, United States, Hungary, Australia, New Zealand, Canada",Nominated for 1 Oscar. 15 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMDU0NjcwOGQtNjNjOS00NzQ3LWIwM2YtYWVmODZjMzQzN2ExXkEyXkFqcGc@._V1_SX300.jpg,64,7.1,272622,tt18412256,movie,N/A,
The First Omen,https://www.youtube.com/watch?v=lmN1Op8ygno,2024,R,05 Apr 2024,119 min,Horror,Arkasha Stevenson,"Tim Smith, Arkasha Stevenson, Keith Thomas","Nell Tiger Free, Ralph Ineson, Sonia Braga","A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil inca...","English, Italian","United States, Italy, Serbia, Canada",5 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BNWU0ZjM1YjYtMGZkZi00NTBiLTgxMGItMzVhZDgyZTkyY2ZhXkEyXkFqcGc@._V1_SX300.jpg,65,6.5,67302,tt5672290,movie,N/A,
Kingdom of the Planet of the Apes,https://www.youtube.com/watch?v=XtFI7SNtVpY,2024,PG-13,10 May 2024,145 min,"Action, Adventure, Drama",Wes Ball,"Josh Friedman, Rick Jaffa, Amanda Silver","Owen Teague, Freya Allan, Kevin Durand","Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.","English, American Sign ","United States, Canada",Nominated for 1 Oscar. 4 wins & 62 nominations total,https://m.media-amazon.com/images/M/MV5BZDRlZTc3YTItOTk3Yi00NmU4LWFiOGUtNjgwMDZjNjIzNTU1XkEyXkFqcGc@._V1_SX300.jpg,66,6.8,160808,tt11389872,movie,N/A,
The Abyss,https://www.youtube.com/watch?v=7cCVYAcIIAo,1989,PG-13,09 Aug 1989,140 min,"Adventure, Drama, Mystery",James Cameron,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn",A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,English,United States,Won 1 Oscar. 9 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMGRkNzJlNjgtZmUwYS00Y2U3LTljZDctMTQxYWIxOWVjMzNjXkEyXkFqcGc@._V1_SX300.jpg,62,7.5,204008,tt0096754,movie,N/A,
